problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
S4,5,10000,no-coordination,no_coordination,20,19,813614681366.9847,813614681366.9847,10000,4.995484828948975,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,6,10000,no-coordination,no_coordination,20,19,925011282246.9093,925011282246.9093,10000,4.96503758430481,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,7,10000,no-coordination,no_coordination,20,19,792378131671.5299,793332874028.6445,10000,4.946423053741455,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,8,10000,no-coordination,no_coordination,20,19,635644755397.0319,635644755397.0319,10000,4.962455749511719,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,9,10000,no-coordination,no_coordination,20,19,1123801741124.7983,1129413316708.0073,10000,4.822113513946533,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S4,10,10000,no-coordination,no_coordination,20,19,1606642393979.3965,1610911284749.9336,10000,4.903754711151123,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,1,10000,no-coordination,no_coordination,20,17,479426324136.4613,479426324136.4613,10000,5.161496877670288,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,2,10000,no-coordination,no_coordination,20,17,426151820763.4778,426151820763.4778,10000,5.1239707469940186,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,3,10000,no-coordination,no_coordination,20,17,176764479448.9371,177159385879.97943,10000,5.165265321731567,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,4,10000,no-coordination,no_coordination,20,17,187048105593.86243,187048105593.86243,10000,5.229479789733887,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,5,10000,no-coordination,no_coordination,20,17,371636935581.88184,371636935581.88184,10000,5.241276502609253,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,6,10000,no-coordination,no_coordination,20,17,270727888673.7239,270727888673.7239,10000,5.242487668991089,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,7,10000,no-coordination,no_coordination,20,17,223096282647.4794,223096282647.4794,10000,5.230638027191162,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,8,10000,no-coordination,no_coordination,20,17,288843731825.88715,288843731825.88715,10000,5.26596736907959,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,9,10000,no-coordination,no_coordination,20,17,202480889333.49014,202480889333.49014,10000,5.176206588745117,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,10,10000,no-coordination,no_coordination,20,17,167659905073.84033,167659905073.84033,10000,5.186671495437622,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,1,10000,no-coordination,no_coordination,20,17,81734.1002801257,84117.63229347646,10000,6.005425453186035,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,2,10000,no-coordination,no_coordination,20,17,80850.84729980488,84046.76464582901,10000,5.870500326156616,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,3,10000,no-coordination,no_coordination,20,17,81991.56681062034,83858.52061524331,10000,5.935498476028442,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,4,10000,no-coordination,no_coordination,20,17,79478.17231145309,84419.42505783084,10000,5.820629596710205,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,5,10000,no-coordination,no_coordination,20,17,81948.0753909915,83832.73177702338,10000,5.874935865402222,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
