problem,tfes,method,runs,best_mean,best_std,best_median,best_q1,best_q3,best_iqr,final_mean,final_std,gap_vs_no_coordination,gap_vs_validated,gap_vs_disable_fast,fusion_count,freeze_count,disable_count,fusion_validation_accept_rate,validation_accept_rate,validation_extra_fe_ratio,cc_pass_count_mean,relation_history_size_mean
E4,20000,arac-lite-v0.6-no-delta-hard-block,10,630321057158.0027,56247804980.27443,631381579913.3379,597441548167.5497,669313238508.8563,71871690341.30664,630661763194.7678,56190409593.41566,-0.004185573586036617,-0.010345846089364204,0.0,1189,837,34074,0.17882668257640916,0.2915079365079365,0.000445,38.0,95.0
E4,20000,arac-lite-v0.6-targeted-probe,10,630321057158.0027,56247804980.27443,631381579913.3379,597441548167.5497,669313238508.8563,71871690341.30664,630661763194.7678,56190409593.41566,-0.004185573586036617,-0.010345846089364204,0.0,1189,837,34074,0.17882668257640916,0.2915079365079365,0.000445,38.0,95.0
E4,20000,no-coordination,10,632970401350.6389,60454460977.81094,636020436117.1385,597483975041.6008,676245987044.6736,78762012003.07275,633027979775.7346,60422827637.47166,0.0,-0.006186165152789964,0.004203166247660546,0,0,0,0.0,0.0,0.0,37.0,0.0
E4,20000,validated-selective-conflict,10,636910434485.9039,58119346064.5056,638418360687.5667,605597545827.9955,679104202502.2031,73506656674.20764,637870562567.7532,58139956013.78137,0.006224672001815141,0.0,0.010454001580736474,21062,13908,180,0.2478375515134974,0.25675675675675674,0.0018500000000000003,37.0,0.0
E6,5000,arac-lite-v0.1-disable-fast,10,4544179349453.729,480250065466.4663,4579167893035.76,4383687734645.202,4809638746369.35,425951011724.14746,4546458280000.379,480901784078.5828,0.0026456975630947998,0.0018358494892382765,0.0,2135,1305,14800,0.10333032298697938,0.26964285714285713,0.00152,9.6,189.7
E6,5000,arac-lite-v0.6-no-delta-hard-block,10,4543254419331.792,480225930659.9725,4576720781921.67,4382599198324.293,4809638746369.35,427039548045.05664,4545841457072.342,480886848000.1252,0.0024416173241804517,0.0016319340882011552,-0.0002035417290577918,2134,1305,14801,0.10303678953359463,0.26964285714285713,0.00152,9.6,189.7
E6,5000,arac-lite-v0.6-targeted-probe,10,4543254419331.792,480225930659.9725,4576720781921.67,4382599198324.293,4809638746369.35,427039548045.05664,4545841457072.342,480886848000.1252,0.0024416173241804517,0.0016319340882011552,-0.0002035417290577918,2134,1305,14801,0.10303678953359463,0.26964285714285713,0.00152,9.6,189.7
E6,5000,no-coordination,10,4532188549253.482,476695048202.34503,4577264481767.286,4376484744703.261,4816589055033.155,440104310329.89404,4533562941636.897,477237913934.5641,0.0,-0.0008077111145291288,-0.0026387163177631952,0,0,0,0.0,0.0,0.0,9.0,0.0
E6,5000,validated-selective-conflict,10,4535852207495.338,468352191141.0327,4574510084981.329,4394764125142.854,4831522338583.242,436758213440.3882,4538504077992.054,468617070076.25946,0.0008083640391481345,0.0,-0.0018324853219958538,9986,6704,410,0.22389691395944306,0.2555555555555556,0.0018,9.0,0.0
E6,10000,arac-lite-v0.1-disable-fast,10,2107876823178.9956,221596418190.77365,2157649478414.1665,2028847752320.8667,2194765959544.8738,165918207224.00708,2109084292104.0164,222096744256.6317,0.004259176764419423,-0.001973363403688912,0.0,2306,1348,30546,0.14593040275537325,0.28227272727272723,0.0008400000000000001,18.0,189.9
