problem,tfes,candidate,baseline,paired_runs,wins,losses,ties,non_worse_count,non_worse_rate,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_iqr,worst_case_gap,best_case_gap
E6,20000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,1,0,9,10,1.0,-0.0008852828561651475,0.0026558485684954427,0.0,0.0,0.0,0.0,0.0,-0.008852828561651475
E6,all,arac-lite-v0.6-targeted-probe,no-coordination,30,10,19,1,11,0.36666666666666664,0.0028742368178426574,0.008451376047552254,0.0015006135630883386,-0.0017473047226916178,0.006002795233990147,0.007750099956681765,0.030484470936154053,-0.013314961553915022
E6,all,arac-lite-v0.6-targeted-probe,validated-selective-conflict,30,16,14,0,16,0.5333333333333333,0.0013748040537420552,0.007373207134062245,-1.0884952894480826e-05,-0.0028675039976134077,0.0038492726492625677,0.006716776646875975,0.01975955480337247,-0.013394871970682252
E6,all,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,30,3,2,25,28,0.9333333333333333,-0.0004243704416874388,0.0016398137377344293,0.0,0.0,0.0,0.0,4.3056480844260834e-05,-0.008852828561651475
E6,all,arac-lite-v0.6-no-delta-hard-block,no-coordination,30,10,19,1,11,0.36666666666666664,0.0028742368178426574,0.008451376047552254,0.0015006135630883386,-0.0017473047226916178,0.006002795233990147,0.007750099956681765,0.030484470936154053,-0.013314961553915022
E6,all,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,30,16,14,0,16,0.5333333333333333,0.0013748040537420552,0.007373207134062245,-1.0884952894480826e-05,-0.0028675039976134077,0.0038492726492625677,0.006716776646875975,0.01975955480337247,-0.013394871970682252
E6,all,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,30,3,2,25,28,0.9333333333333333,-0.0004243704416874388,0.0016398137377344293,0.0,0.0,0.0,0.0,4.3056480844260834e-05,-0.008852828561651475
R6,5000,arac-lite-v0.6-targeted-probe,no-coordination,10,2,7,1,3,0.3,0.0017378632506900413,0.0069629214076125726,0.0031577532152517514,0.00046258067908077846,0.0034845182106708447,0.0030219375315900664,0.012996754280980221,-0.016290201345993075
R6,5000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,8,2,0,8,0.8,-0.003635898880739899,0.006548712151455633,-0.0003275824464007729,-0.008979017896418272,-1.8797539190969247e-05,0.008960220357227303,0.003705526615607096,-0.014878006132407074
R6,5000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,1,9,9,0.9,7.684186949547988e-06,2.305256084864396e-05,0.0,0.0,0.0,0.0,7.684186949547988e-05,0.0
R6,5000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,2,7,1,3,0.3,0.0017378632506900413,0.0069629214076125726,0.0031577532152517514,0.00046258067908077846,0.0034845182106708447,0.0030219375315900664,0.012996754280980221,-0.016290201345993075
R6,5000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,8,2,0,8,0.8,-0.003635898880739899,0.006548712151455633,-0.0003275824464007729,-0.008979017896418272,-1.8797539190969247e-05,0.008960220357227303,0.003705526615607096,-0.014878006132407074
R6,5000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,1,9,9,0.9,7.684186949547988e-06,2.305256084864396e-05,0.0,0.0,0.0,0.0,7.684186949547988e-05,0.0
R6,10000,arac-lite-v0.6-targeted-probe,no-coordination,10,4,5,1,5,0.5,0.0061684481242384615,0.01861272514450064,0.00018293484893845767,-2.1802020826999046e-05,0.005702030391985443,0.005723832412812442,0.049791315779463885,-0.01992445129714994
R6,10000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,7,3,0,7,0.7,-0.005379516537618418,0.020501732305598337,-0.008534696771164946,-0.013235760567737405,0.004195816583447197,0.017431577151184603,0.03959477593763952,-0.04266502670261991
R6,10000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,10000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,4,5,1,5,0.5,0.0061684481242384615,0.01861272514450064,0.00018293484893845767,-2.1802020826999046e-05,0.005702030391985443,0.005723832412812442,0.049791315779463885,-0.01992445129714994
R6,10000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,7,3,0,7,0.7,-0.005379516537618418,0.020501732305598337,-0.008534696771164946,-0.013235760567737405,0.004195816583447197,0.017431577151184603,0.03959477593763952,-0.04266502670261991
R6,10000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,20000,arac-lite-v0.6-targeted-probe,no-coordination,10,4,6,0,4,0.4,-0.0016456853341333439,0.009078967300822709,9.120208640634571e-05,-0.006821204252040903,0.003938361133879463,0.010759565385920366,0.012151033971196936,-0.0201391945805452
R6,20000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,4,6,0,4,0.4,0.003334972772366692,0.011042507670144494,0.0033620087755429164,-0.004978193865189999,0.014220139620783813,0.01919833348597381,0.016984919410734996,-0.013250469971907063
R6,20000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,20000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,4,6,0,4,0.4,-0.0016456853341333439,0.009078967300822709,9.120208640634571e-05,-0.006821204252040903,0.003938361133879463,0.010759565385920366,0.012151033971196936,-0.0201391945805452
R6,20000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,4,6,0,4,0.4,0.003334972772366692,0.011042507670144494,0.0033620087755429164,-0.004978193865189999,0.014220139620783813,0.01919833348597381,0.016984919410734996,-0.013250469971907063
R6,20000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,all,arac-lite-v0.6-targeted-probe,no-coordination,30,10,18,2,12,0.4,0.00208687534693172,0.013013538003432312,0.0007356326579215866,-0.0001468495683871959,0.004241531435515802,0.004388381003902998,0.049791315779463885,-0.0201391945805452
R6,all,arac-lite-v0.6-targeted-probe,validated-selective-conflict,30,19,11,0,19,0.6333333333333333,-0.0018934808819972087,0.014464540858120056,-0.0014200886051641212,-0.011004631140308068,0.005352542613382046,0.016357173753690113,0.03959477593763952,-0.04266502670261991
R6,all,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,30,0,1,29,29,0.9666666666666667,2.561395649849329e-06,1.3793537710716019e-05,0.0,0.0,0.0,0.0,7.684186949547988e-05,0.0
R6,all,arac-lite-v0.6-no-delta-hard-block,no-coordination,30,10,18,2,12,0.4,0.00208687534693172,0.013013538003432312,0.0007356326579215866,-0.0001468495683871959,0.004241531435515802,0.004388381003902998,0.049791315779463885,-0.0201391945805452
R6,all,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,30,19,11,0,19,0.6333333333333333,-0.0018934808819972087,0.014464540858120056,-0.0014200886051641212,-0.011004631140308068,0.005352542613382046,0.016357173753690113,0.03959477593763952,-0.04266502670261991
R6,all,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,30,0,1,29,29,0.9666666666666667,2.561395649849329e-06,1.3793537710716019e-05,0.0,0.0,0.0,0.0,7.684186949547988e-05,0.0
S4,5000,arac-lite-v0.6-targeted-probe,no-coordination,10,3,4,3,6,0.6,-0.00010580474718387845,0.011966759814185062,0.0,-2.0861212957384626e-05,0.0008439209897335204,0.000864782202690905,0.014774044697740917,-0.031587925267414656
S4,5000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,5,5,0,5,0.5,-0.0007719830243085943,0.0074585834996531,-0.00041064177963583674,-0.0019323678837928366,0.0012969664934009226,0.0032293343771937592,0.014774044697740917,-0.01428708297850832
S4,5000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,2,0,8,10,1.0,-0.00019151791287745003,0.0005744360021498777,0.0,0.0,0.0,0.0,0.0,-0.001914825890364791
S4,5000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,3,4,3,6,0.6,-0.00010580474718387845,0.011966759814185062,0.0,-2.0861212957384626e-05,0.0008439209897335204,0.000864782202690905,0.014774044697740917,-0.031587925267414656
S4,5000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,5,5,0,5,0.5,-0.0007719830243085943,0.0074585834996531,-0.00041064177963583674,-0.0019323678837928366,0.0012969664934009226,0.0032293343771937592,0.014774044697740917,-0.01428708297850832
S4,5000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,2,0,8,10,1.0,-0.00019151791287745003,0.0005744360021498777,0.0,0.0,0.0,0.0,0.0,-0.001914825890364791
S4,10000,arac-lite-v0.6-targeted-probe,no-coordination,10,4,4,2,6,0.6,-0.0038434552008220677,0.006583351731186369,0.0,-0.006807728286903677,3.4121257655677358e-06,0.0068111404126692445,0.0014537053899034056,-0.01908085204132943
S4,10000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,9,1,0,9,0.9,-0.008131708604139209,0.0065662170792129115,-0.006858886698980391,-0.011540744179999769,-0.0028920473324461,0.008648696847553669,3.6561118175954832e-06,-0.02199049295321947
S4,10000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4,10000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,4,4,2,6,0.6,-0.0038434552008220677,0.006583351731186369,0.0,-0.006807728286903677,3.4121257655677358e-06,0.0068111404126692445,0.0014537053899034056,-0.01908085204132943
S4,10000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,9,1,0,9,0.9,-0.008131708604139209,0.0065662170792129115,-0.006858886698980391,-0.011540744179999769,-0.0028920473324461,0.008648696847553669,3.6561118175954832e-06,-0.02199049295321947
S4,10000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4,20000,arac-lite-v0.6-targeted-probe,no-coordination,10,6,4,0,6,0.6,-0.0025798223826847414,0.02545981165294992,-0.004612091534425637,-0.01683301628834189,0.015606876344374698,0.032439892632716585,0.041864986831096934,-0.04374234472184256
S4,20000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,5,5,0,5,0.5,-0.004738260609036035,0.027667247263720062,-0.001388429561661482,-0.024574578021232845,0.01721607294681639,0.04179065096804924,0.031807106303029714,-0.057400778736533924
S4,20000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4,20000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,6,4,0,6,0.6,-0.0025798223826847414,0.02545981165294992,-0.004612091534425637,-0.01683301628834189,0.015606876344374698,0.032439892632716585,0.041864986831096934,-0.04374234472184256
S4,20000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,5,5,0,5,0.5,-0.004738260609036035,0.027667247263720062,-0.001388429561661482,-0.024574578021232845,0.01721607294681639,0.04179065096804924,0.031807106303029714,-0.057400778736533924
S4,20000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
