problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
E6,2,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4554052510706.439,4555881413549.695,5000,3.099646806716919,380,245,1085,380,150,0.39473684210526316,9,5,4,0.5555555555555556,0.0018,190,ok
E6,3,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4326934702446.985,4326934702446.985,5000,3.103505849838257,347,213,1150,347,78,0.22478386167146974,9,3,6,0.3333333333333333,0.0018,190,ok
E6,4,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,5195633074776.917,5204993620188.907,5000,3.1025900840759277,261,160,1289,261,51,0.19540229885057472,9,4,5,0.4444444444444444,0.0018,190,ok
E6,5,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4625792663706.297,4626296559085.842,5000,3.1141817569732666,213,144,1353,213,19,0.0892018779342723,9,4,5,0.4444444444444444,0.0018,190,ok
E6,6,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,5162796610661.273,5162796610661.273,5000,3.0688700675964355,215,118,1377,215,14,0.06511627906976744,9,3,6,0.3333333333333333,0.0018,190,ok
E6,7,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4044755008347.1494,4049348437304.364,5000,3.116590976715088,234,121,1355,234,15,0.0641025641025641,9,1,8,0.1111111111111111,0.0018,190,ok
E6,8,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4899797620034.113,4899797620034.113,5000,3.0443124771118164,225,120,1365,225,17,0.07555555555555556,9,2,7,0.2222222222222222,0.0018,189,ok
E6,9,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,4556377216793.103,4563766556078.613,5000,3.120159387588501,247,171,1292,247,47,0.1902834008097166,9,4,5,0.4444444444444444,0.0018,190,ok
E6,10,5000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,9,3502299671063.0586,3503033445879.5737,5000,3.0880250930786133,194,161,1355,194,3,0.015463917525773196,9,1,8,0.1111111111111111,0.0018,189,ok
R6,1,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,28809370614.35594,28809370614.35594,10000,7.306414604187012,223,145,2862,223,26,0.11659192825112108,17,9,8,0.5294117647058824,0.0017,190,ok
R6,2,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,37728771776.57042,37728771776.57042,10000,7.345273971557617,224,134,2872,224,20,0.08928571428571429,17,7,10,0.4117647058823529,0.0017,190,ok
R6,3,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,42445872554.96414,42445872554.96414,10000,7.328291416168213,346,214,2670,346,54,0.15606936416184972,17,3,14,0.17647058823529413,0.0017,190,ok
R6,4,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,15776531339.339006,15789090247.421984,10000,7.292840957641602,204,84,2942,204,10,0.049019607843137254,11,4,7,0.36363636363636365,0.0011,190,ok
R6,5,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,28394745969.17545,28443759535.5479,10000,7.269378185272217,201,123,2906,201,6,0.029850746268656716,14,4,10,0.2857142857142857,0.0014,190,ok
R6,6,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,29063793696.2104,29063793696.2104,10000,7.277870178222656,215,142,2873,215,8,0.037209302325581395,16,6,10,0.375,0.0016,190,ok
R6,7,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,20349883556.792053,20358671655.91127,10000,7.238788843154907,211,112,2907,211,10,0.04739336492890995,17,6,11,0.35294117647058826,0.0017,190,ok
R6,8,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,22358407653.575027,22358407653.575027,10000,7.144631624221802,246,127,2857,246,19,0.07723577235772358,16,4,12,0.25,0.0016,190,ok
R6,9,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,24217035325.62147,24309659399.14532,10000,7.237821817398071,203,112,2915,203,8,0.03940886699507389,15,5,10,0.3333333333333333,0.0015,190,ok
R6,10,10000,arac-lite-v0.6-accept-only-recovery,arac_lite_rule,20,17,21665707499.998962,21730209285.664127,10000,7.161164999008179,304,169,2757,304,57,0.1875,17,6,11,0.35294117647058826,0.0017,190,ok
